datetime,dwords
2019-11-14T14:48:29+09:00,"['word33', 'word113', 'word106', 'word80']"
2019-11-14T14:46:25+09:00,"['word33', 'word113', 'word106', 'word80']"
2019-11-14T14:45:49+09:00,"['word33', 'word113', 'word106', 'word80']"
2019-11-14T14:28:06+09:00,"['word33', 'word113', 'word106', 'word80']"
2019-11-14T14:27:50+09:00,"['word33', 'word113', 'word106', 'word80']"
2019-11-14T14:22:35+09:00,"['word70', 'word82', 'word80']"
2019-11-14T14:19:06+09:00,"['word70', 'word82', 'word80']"
2019-11-14T14:19:06+09:00,"['word70', 'word82', 'word80']"
2019-11-14T14:18:58+09:00,"['word70', 'word114', 'word115']"
2019-11-14T14:18:40+09:00,"['word70', 'word114', 'word115']"
2019-11-14T14:17:57+09:00,"['word47', 'word116', 'word80', 'word57']"
2019-11-14T13:22:53+09:00,"['word47', 'word116', 'word80', 'word57']"
2019-11-14T13:22:40+09:00,"['word47', 'word80', 'word8']"
2019-11-14T13:22:40+09:00,"['word47', 'word80', 'word8']"
2019-11-14T13:18:33+09:00,"['word47', 'word80', 'word8']"
2019-11-14T13:17:32+09:00,"['word47', 'word24', 'word117']"
2019-11-14T13:15:30+09:00,"['word47', 'word24', 'word117']"
2019-11-14T13:15:23+09:00,"['word47', 'word24', 'word45']"
2019-11-14T13:14:50+09:00,"['word47', 'word24', 'word45']"
2019-11-14T13:14:34+09:00,"['word47', 'word13']"
2019-11-14T12:45:47+09:00,"['word47', 'word13']"
2019-11-14T12:45:30+09:00,"['word47', 'word24', 'word8']"
2019-11-14T12:39:24+09:00,"['word47', 'word24', 'word8']"
2019-11-14T12:32:30+09:00,"['word47', 'word24', 'word8']"
2019-11-14T12:23:34+09:00,"['word47', 'word24', 'word8']"
2019-11-14T12:23:18+09:00,"['word47', 'word24', 'word8']"
2019-11-14T12:23:00+09:00,"['word47', 'word24', 'word8']"
2019-11-14T12:22:35+09:00,"['word47', 'word118', 'word8']"
2019-11-12T17:24:44+09:00,['word119']
2019-11-12T17:08:25+09:00,"['word0', 'word120', 'word121']"
2019-11-12T17:08:12+09:00,"['word0', 'word120', 'word121']"
2019-11-12T17:05:56+09:00,"['word0', 'word120', 'word121']"
2019-11-12T17:04:25+09:00,"['word33', 'word122']"
2019-11-12T17:04:13+09:00,"['word33', 'word122']"
2019-11-12T17:03:55+09:00,"['word122', 'word4', 'word123']"
2019-11-12T17:03:33+09:00,"['word122', 'word4', 'word57']"
2019-11-12T17:03:33+09:00,"['word122', 'word4', 'word57']"
2019-11-12T17:03:22+09:00,"['word122', 'word4']"
2019-11-12T17:03:03+09:00,"['word122', 'word4']"
2019-11-12T17:02:45+09:00,"['word47', 'word118', 'word8']"
2019-11-12T17:01:21+09:00,"['word47', 'word118', 'word8']"
2019-11-12T16:59:47+09:00,"['word47', 'word118', 'word8']"
2019-11-12T16:59:40+09:00,"['word47', 'word124', 'word8']"
2019-11-12T16:59:31+09:00,"['word47', 'word124', 'word26']"
2019-11-12T16:59:16+09:00,"['word47', 'word124', 'word8']"
2019-11-12T16:58:26+09:00,"['word47', 'word124', 'word8']"
2019-11-12T16:57:58+09:00,"['word47', 'word124', 'word8']"
2019-11-12T16:57:42+09:00,"['word47', 'word8']"
2019-11-12T16:30:33+09:00,"['word40', 'word20', 'word47']"
2019-11-12T16:30:20+09:00,"['word40', 'word20']"
2019-11-12T16:30:06+09:00,"['word40', 'word20']"
2019-11-12T16:29:05+09:00,"['word4', 'word43']"
2019-11-12T16:28:51+09:00,"['word4', 'word43']"
2019-11-12T16:10:19+09:00,"['word47', 'word12']"
2019-11-12T16:10:11+09:00,"['word47', 'word40', 'word4']"
2019-11-12T15:32:35+09:00,"['word47', 'word40', 'word4']"
2019-11-12T15:32:35+09:00,"['word47', 'word40', 'word4']"
